dataset,model,n_seeds,n_updates_run_mean,n_updates_run_ci_lo,n_updates_run_ci_hi,early_stopping_rate,best_val_loss_mean,best_val_loss_ci_lo,best_val_loss_ci_hi
1_vs_0,cong,5,466.0,372.0,500.0,0.4,0.21171147620090824,0.18754787851176052,0.24389876905727204
1_vs_0,wei,5,500.0,500.0,500.0,0.0,0.0441982877624076,0.0390723463921131,0.05360427992359537
4_vs_9,cong,5,386.0,294.0,468.0,0.8,0.5420705639838586,0.5156457752799172,0.5554911726261325
4_vs_9,wei,5,466.0,364.0,500.0,0.2,0.15835135703427092,0.148016543112622,0.18217221951573248
coat_vs_shirt,cong,5,418.0,356.0,464.0,1.0,0.5909550951743456,0.5738076298291241,0.6062574704360633
coat_vs_shirt,wei,5,490.0,460.0,500.0,0.2,0.5147845866679948,0.4954497046054013,0.5263492824787444
