dataset,model,n_seeds,n_updates_run_mean,n_updates_run_ci_lo,n_updates_run_ci_hi,early_stopping_rate,best_val_loss_mean,best_val_loss_ci_lo,best_val_loss_ci_hi
1_vs_0,cnn_wei_analoga,5,396.0,316.0,470.0,1.0,0.03699313499487176,0.02066572193640484,0.08016762855807961
1_vs_0,wei,5,500.0,500.0,500.0,0.0,0.0441982877624076,0.0390723463921131,0.05360427992359538
4_vs_9,cnn_wei_analoga,5,450.0,306.0,498.0,0.4,0.4517395857070701,0.3843196482380915,0.584910766148718
4_vs_9,wei,5,466.0,364.0,500.0,0.2,0.15835135703427092,0.1479384254445968,0.18217221951573245
coat_vs_shirt,cnn_wei_analoga,5,392.0,304.0,458.0,0.8,0.5885676107143463,0.5492262649307161,0.6176489998565953
coat_vs_shirt,wei,5,490.0,460.0,500.0,0.2,0.5147845866679948,0.4954497046054012,0.5259443803120567
